Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Ray Allen,29.3,SEA,Wing,434,96,+18.3,70,+1.8,83,+3.7%,43,-0.5,73,+1.4,96,+29.6%,85,+52.6,59,+0.6,53,+1.3%,40,-18.5
Carmelo Anthony,20.4,DEN,Forward,179,84,+10.2,2,-8.0,11,-3.1%,5,-55.4,19,-1.5,6,-20.0%,50,+2.6,4,-6.5,66,+3.0%,4,-80.0
Gilbert Arenas,22.8,WAS,Wing,450,100,+51.7,47,-0.1,3,-7.1%,55,+4.2,51,+0.1,2,-28.4%,3,-72.4,48,-0.3,7,-13.1%,62,+7.9
Carlos Arroyo,25.3,DET,Point,133,24,-5.7,63,+1.0,42,-0.7%,51,+3.7,50,+0.1,73,+9.4%,38,-9.3,61,+0.8,46,+0.0%,63,+8.6
Leandro Barbosa,21.9,PHX,Combo,110,2,-20.8,42,-0.7,10,-3.2%,58,+7.5,42,-0.2,25,-8.3%,41,-5.7,45,-0.7,6,-13.4%,59,+6.6
Brent Barry,32.8,SAS,Wing,536,30,-4.8,68,+1.7,68,+1.8%,69,+11.4,67,+0.7,60,+3.3%,46,+0.4,64,+0.9,65,+2.5%,65,+9.5
Jon Barry,35.3,HOU,Wing,180,53,+1.6,68,+1.8,92,+4.6%,61,+8.4,91,+3.2,84,+15.0%,84,+50.0,32,-1.8,73,+4.4%,38,-20.9
Shane Battier,26.1,MEM,Forward,118,44,-1.6,35,-1.6,17,-2.7%,60,+8.3,10,-2.5,13,-12.9%,39,-6.7,73,+1.3,41,-0.6%,92,+50.0
Mike Bibby,26.5,SAC,Point,201,94,+16.0,69,+1.8,2,-8.3%,82,+26.7,96,+5.6,61,+3.7%,94,+107.1,10,-4.8,1,-27.7%,41,-16.2
Chauncey Billups,28.1,DET,Combo,983,75,+7.6,50,+0.4,26,-1.9%,64,+9.5,37,-0.3,42,-3.2%,66,+19.3,62,+0.8,62,+2.2%,66,+9.9
Bruce Bowen,33.4,SAS,Wing,809,34,-4.2,23,-3.1,24,-2.0%,19,-28.4,21,-1.1,18,-11.7%,24,-22.2,36,-1.6,43,-0.3%,35,-23.3
Ryan Bowen,29.0,HOU,Forward,115,32,-4.4,96,+5.8,46,-0.1%,98,+62.3,82,+2.3,9,-15.7%,86,+54.5,89,+3.3,31,-2.8%,96,+64.5
Earl Boykins,28.4,DEN,Point,147,39,-3.1,67,+1.6,18,-2.6%,81,+24.2,18,-1.5,34,-7.1%,46,0.0,88,+3.1,78,+6.3%,87,+41.7
Rasual Butler,25.4,MIA,Wing,175,9,-13.0,4,-6.5,33,-1.6%,4,-60.7,18,-1.5,32,-7.1%,9,-54.2,8,-5.0,48,+1.1%,7,-65.9
Marcus Camby,30.6,DEN,Big,186,88,+12.4,24,-2.6,51,+0.3%,15,-35.1,32,-0.6,0,-41.7%,50,+2.6,31,-1.9,83,+8.5%,16,-45.7
Vince Carter,27.8,NJN,Wing,180,40,-2.7,95,+5.7,8,-3.6%,89,+38.2,17,-1.6,75,+11.5%,28,-19.2,99,+7.0,2,-18.7%,95,+55.1
Tyson Chandler,22.1,CHI,Big,174,85,+10.2,74,+2.0,89,+4.0%,59,+7.9,32,-0.5,72,+8.4%,27,-20.0,86,+2.8,58,+2.0%,77,+26.7
Jason Collins,25.9,NJN,Big,128,5,-16.9,58,+0.8,98,+6.3%,53,+3.7,20,-1.4,19,-11.1%,30,-17.9,75,+1.8,88,+10.0%,75,+21.1
Nick Collison,24.0,SEA,Big,211,42,-2.5,39,-1.3,16,-2.7%,39,-4.6,11,-1.9,14,-12.8%,10,-51.5,57,+0.4,20,-6.1%,68,+14.2
Samuel Dalembert,24.5,PHI,Big,192,77,+8.3,0,-12.2,18,-2.6%,2,-73.0,24,-0.9,69,+8.3%,11,-47.1,4,-6.8,4,-14.6%,5,-77.4
