Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Alex Abrines,24.3,OKC,Wing,106,94,-14.8,91,-13.0,91,-6.9%,90,+3.9%,64,-2.0,76,-1.9,51,+1.6
Steven Adams,24.3,OKC,Big,199,22,+8.0,45,+1.3,23,+3.5%,29,-1.2%,35,+2.7,14,+3.8,66,-12.7
LaMarcus Aldridge,32.3,SAS,Big,175,78,-7.1,25,+8.2,100,-25.1%,73,+1.6%,98,-15.0,98,-10.8,80,-30.4
Al-Farouq Aminu,27.1,POR,Big,130,32,+5.0,20,+9.9,67,-2.8%,14,-3.2%,51,-0.1,51,-0.0,55,-1.3
Giannis Antetokounmpo,22.9,MIL,Forward,279,18,+8.4,13,+13.0,90,-6.8%,57,+0.5%,3,+17.9,34,+1.4,2,+111.1
Carmelo Anthony,33.4,OKC,Big,193,13,+11.2,2,+19.1,56,-1.3%,5,-4.5%,92,-9.3,69,-1.4,87,-41.4
Trevor Ariza,32.3,HOU,Wing,579,86,-10.6,79,-8.2,40,+0.7%,23,-1.6%,69,-3.4,24,+2.5,86,-41.4
Aron Baynes,30.9,BOS,Big,372,23,+7.4,38,+3.9,48,-0.4%,56,+0.4%,27,+4.3,20,+3.0,45,+5.5
Bradley Beal,24.3,WAS,Wing,215,12,+13.3,0,+27.4,50,-0.4%,9,-3.9%,94,-10.6,23,+2.6,100,-92.1
Marco Belinelli,31.6,PHI,Wing,272,17,+8.5,46,+1.3,39,+0.8%,81,+2.3%,62,-1.9,70,-1.4,56,-2.7
