Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kyle Anderson,27.1,MEM,Forward,213,38,-3.0,66,+5.7,62,+1.8%,18,+2.9%,14,-5.7,23,-2.4,30,-15.3
Giannis Antetokounmpo,25.9,MIL,Big,792,28,-5.3,33,-4.2,23,-3.1%,68,-2.0%,20,-5.0,39,-0.6,25,-19.4
Carmelo Anthony,36.4,POR,Forward,143,17,-10.0,22,-7.9,80,+4.7%,26,+1.7%,22,-4.7,43,-0.1,18,-26.1
Nicolas Batum,31.9,LAC,Wing,554,87,+18.2,90,+19.5,57,+1.4%,48,-0.1%,43,-0.5,71,+2.3,22,-22.7
Bradley Beal,27.3,WAS,Wing,258,70,+6.9,83,+13.3,71,+3.3%,14,+3.2%,92,+9.5,98,+8.1,48,-2.5
Davis Bertans,28.0,WAS,Forward,150,51,+0.2,12,-12.4,60,+1.7%,39,+0.6%,50,-0.0,52,+0.7,46,-4.0
Patrick Beverley,32.3,LAC,Combo,314,15,-11.1,14,-10.7,34,-2.1%,76,-2.6%,12,-7.0,21,-2.6,13,-32.8
Bojan Bogdanovic,31.5,UTA,Forward,389,82,+13.0,82,+13.2,54,+1.1%,66,-1.6%,71,+4.1,50,+0.4,74,+19.5
Devin Booker,24.0,PHX,Wing,887,72,+7.4,58,+3.5,50,+0.6%,70,-2.0%,63,+2.8,86,+3.4,40,-7.4
Reggie Bullock,29.6,NYK,Wing,162,24,-7.8,38,-3.4,53,+1.0%,74,-2.4%,95,+11.3,87,+4.8,90,+40.7
Alec Burks,29.3,NYK,Wing,127,93,+21.0,90,+19.8,70,+3.3%,4,+4.8%,26,-4.1,41,-0.6,24,-20.0
