Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,22.1,TOR,Big,1693,56,17.3%,6,100.2,37,7.0%,24,0.40,63,12.1%
Steven Adams,28.3,MEM,Big,1997,28,13.6%,26,112.1,84,15.4%,98,1.13,16,17.4%
Bam Adebayo,24.3,MIA,Big,1822,93,24.5%,64,122.2,91,17.2%,75,0.70,35,14.8%
Santi Aldama,20.8,MEM,Big,243,46,15.8%,2,89.0,18,5.5%,16,0.34,57,12.5%
LaMarcus Aldridge,36.3,BKN,Big,1047,78,19.5%,61,121.9,26,6.1%,12,0.31,84,9.2%
Nickeil Alexander-Walker,23.2,UTA,Wing,112,58,17.3%,57,113.2,79,13.8%,85,0.79,68,9.2%
Nickeil Alexander-Walker,23.2,NOP,Combo,1298,81,24.8%,18,95.8,40,16.6%,22,0.67,57,10.9%
Grayson Allen,26.1,MIL,Wing,1786,32,14.0%,84,122.0,25,7.4%,34,0.53,91,7.4%
Jarrett Allen,23.5,CLE,Big,1802,48,16.0%,95,139.8,47,7.9%,39,0.49,38,14.3%
Jose Alvarado,23.6,NOP,Point,731,38,21.0%,44,105.3,32,25.0%,64,1.19,78,10.7%
Justin Anderson,28.0,IND,Forward,260,61,16.6%,6,93.3,78,14.0%,84,0.84,97,5.1%
Kyle Anderson,28.1,MEM,Forward,1458,62,16.8%,22,101.4,86,16.2%,93,0.97,40,11.3%
Giannis Antetokounmpo,26.9,MIL,Big,2189,99,35.7%,77,126.9,99,30.3%,85,0.85,65,12.0%
Thanasis Antetokounmpo,29.3,MIL,Big,359,34,14.3%,46,117.0,45,7.5%,47,0.52,32,14.9%
Carmelo Anthony,37.4,LAL,Big,1784,66,18.4%,48,117.4,20,5.6%,11,0.30,94,7.5%
Cole Anthony,21.5,ORL,Point,2044,72,27.3%,42,104.9,54,28.0%,24,1.02,50,13.1%
OG Anunoby,24.3,TOR,Wing,1722,74,20.0%,37,109.1,60,10.9%,39,0.54,54,10.0%
Trevor Ariza,36.3,LAL,Forward,453,10,11.1%,3,89.4,36,7.8%,65,0.70,66,9.7%
D.J. Augustin,34.0,LAL,Combo,357,1,11.6%,98,129.8,20,11.4%,64,0.98,60,10.5%
D.J. Augustin,34.0,HOU,Point,507,14,18.2%,98,122.1,16,21.4%,58,1.18,6,21.2%
Deni Avdija,20.8,WAS,Forward,1910,56,16.1%,35,107.2,68,11.1%,62,0.69,33,12.0%
Deandre Ayton,23.3,PHX,Big,1708,69,18.5%,85,131.4,41,7.2%,22,0.39,55,12.6%
Udoka Azubuike,22.1,UTA,Big,155,4,10.2%,96,142.9,0,0.0%,0,0.00,0,31.0%
Marvin Bagley,22.6,DET,Big,488,71,18.6%,52,118.6,34,6.7%,19,0.36,91,8.7%
Marvin Bagley,22.6,SAC,Big,650,51,16.4%,10,104.6,9,3.8%,7,0.23,92,8.3%
LaMelo Ball,20.2,CHA,Point,2403,80,30.4%,66,112.3,82,34.3%,52,1.13,34,13.8%
Lonzo Ball,24.0,CHI,Point,1204,18,18.4%,78,115.1,12,20.3%,44,1.10,16,16.1%
Mohamed Bamba,23.5,ORL,Big,1795,46,15.9%,36,115.3,44,7.3%,32,0.46,66,11.6%
Desmond Bane,23.4,MEM,Wing,2262,83,21.8%,83,120.4,77,13.6%,57,0.62,67,9.2%
Dalano Banton,22.0,TOR,Combo,626,29,17.9%,13,91.1,51,18.7%,72,1.04,9,16.9%
Harrison Barnes,29.4,SAC,Forward,2581,70,18.0%,94,125.9,63,10.3%,43,0.57,45,11.0%
Scottie Barnes,20.3,TOR,Forward,2603,76,19.4%,47,110.8,80,14.9%,76,0.77,38,11.5%
RJ Barrett,21.4,NYK,Wing,2407,92,26.8%,20,102.2,81,14.6%,41,0.55,55,10.0%
Will Barton,30.8,DEN,Wing,2272,81,21.2%,43,109.8,87,17.1%,87,0.81,32,11.6%
Charles Bassey,21.0,PHI,Big,124,29,13.7%,94,138.2,42,7.2%,49,0.53,11,18.7%
Keita Bates-Diop,25.8,SAS,Big,911,21,13.1%,35,115.1,24,6.1%,33,0.46,32,15.0%
Nicolas Batum,32.9,LAC,Forward,1457,20,12.3%,91,123.4,61,10.0%,80,0.81,64,9.9%
Kent Bazemore,32.3,LAL,Wing,487,14,11.7%,6,91.0,26,7.4%,60,0.64,20,12.6%
Darius Bazley,21.4,OKC,Forward,1931,65,17.1%,24,103.6,37,7.8%,20,0.46,32,12.1%
Bradley Beal,28.3,WAS,Combo,1438,99,32.2%,48,108.1,90,30.9%,62,0.96,38,12.9%
Malik Beasley,24.9,MIN,Wing,1959,60,17.5%,44,110.6,39,8.5%,28,0.49,97,5.4%
DeAndre' Bembry,27.3,BKN,Wing,894,10,11.3%,74,117.4,35,8.4%,80,0.74,36,11.4%
Davis Bertans,29.0,WAS,Forward,489,46,15.2%,46,110.3,5,4.3%,4,0.28,81,8.4%
Davis Bertans,29.0,DAL,Forward,285,44,14.9%,74,116.2,24,6.8%,23,0.46,96,5.4%
Patrick Beverley,33.3,MIN,Combo,1473,36,18.6%,43,106.9,80,24.8%,86,1.33,55,11.1%
Saddiq Bey,22.6,DET,Forward,2684,83,20.6%,34,107.1,77,13.8%,59,0.67,88,7.5%
Khem Birch,29.1,TOR,Big,988,6,10.7%,14,106.9,44,7.3%,72,0.68,64,12.0%
Goga Bitadze,22.3,IND,Big,678,70,18.6%,71,123.8,70,11.7%,65,0.63,33,14.9%
Bismack Biyombo,29.2,PHX,Big,440,38,15.1%,72,123.8,29,6.2%,25,0.41,50,13.1%
Nemanja Bjelica,33.5,GSW,Big,1093,74,19.0%,35,114.8,94,19.8%,96,1.04,12,18.3%
Eric Bledsoe,31.9,LAC,Point,1358,50,22.5%,36,103.5,36,25.1%,48,1.11,12,16.8%
Keljin Blevins,25.9,POR,Combo,258,19,15.7%,3,71.1,5,6.2%,4,0.39,27,14.0%
Bogdan Bogdanovic,29.2,ATL,Wing,1835,83,21.6%,53,112.5,83,15.1%,69,0.70,86,7.8%
Bojan Bogdanovic,32.5,UTA,Forward,2121,88,21.8%,87,119.7,51,8.5%,12,0.39,47,11.0%
Leandro Bolmaro,21.1,MIN,Wing,165,7,10.5%,2,75.8,37,8.5%,86,0.80,22,12.3%
Devin Booker,25.0,PHX,Wing,2343,100,32.2%,69,116.3,95,21.2%,65,0.66,66,9.3%
Brandon Boston Jr.,19.9,LAC,Forward,669,80,20.2%,13,96.9,60,10.0%,32,0.49,70,9.3%
Chris Boucher,28.8,TOR,Big,1666,42,15.4%,34,114.4,4,2.0%,4,0.13,95,7.0%
James Bouknight,21.1,CHA,Combo,234,59,21.0%,33,101.8,12,9.4%,7,0.45,65,10.2%
Avery Bradley,30.9,LAL,Wing,1384,8,11.1%,47,111.2,5,4.6%,12,0.42,44,10.5%
Tony Bradley,23.8,CHI,Big,492,12,11.9%,53,118.6,30,6.3%,49,0.53,2,21.4%
Ignas Brazdeikis,22.8,ORL,Forward,439,60,16.5%,43,109.8,57,9.9%,49,0.60,78,8.4%
Mikal Bridges,25.2,PHX,Wing,2846,30,13.7%,97,126.6,34,8.4%,53,0.61,89,7.6%
Miles Bridges,23.6,CHA,Forward,2824,89,22.1%,82,118.6,83,15.3%,63,0.69,57,10.3%
Oshae Brissett,23.4,IND,Big,1508,44,15.6%,14,106.4,31,6.5%,26,0.42,86,9.0%
Malcolm Brogdon,28.9,IND,Combo,1205,87,27.0%,66,112.6,84,27.0%,66,1.00,69,10.1%
Armoni Brooks,23.4,HOU,Combo,619,23,16.6%,29,99.6,15,10.3%,20,0.62,86,8.3%
Armoni Brooks,23.4,TOR,Combo,139,8,12.9%,10,86.1,23,12.2%,60,0.95,75,9.6%
Dillon Brooks,25.8,MEM,Wing,881,95,28.2%,22,104.2,82,14.7%,33,0.52,82,8.2%
Bruce Brown,25.2,BKN,Forward,1707,39,14.7%,69,115.2,71,11.6%,77,0.79,65,9.8%
Charles Brown,24.7,PHI,Wing,135,2,9.8%,0,60.7,1,3.6%,5,0.37,60,9.7%
Greg Brown,20.2,POR,Big,504,47,15.9%,12,106.0,45,7.4%,34,0.46,25,15.8%
Jaylen Brown,25.0,BOS,Wing,2220,97,29.5%,66,115.3,89,17.3%,48,0.59,28,12.0%
Moses Brown,22.1,CLE,Big,163,44,15.6%,72,123.9,0,0.0%,0,0.00,78,10.1%
Moses Brown,22.1,DAL,Big,134,65,17.9%,51,118.2,2,1.1%,2,0.06,46,13.3%
Sterling Brown,26.7,DAL,Forward,569,19,12.2%,9,94.4,31,7.4%,50,0.60,21,12.8%
