Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,22.1,TOR,Big,1693,7,48.6%,13,59%,29,35%,37,24%,22,33%,25,31%,85,40%,61,36%
Steven Adams,28.3,MEM,Big,1997,42,55.1%,16,60%,39,39%,8,0%,38,38%,0,,0,,0,
Bam Adebayo,24.3,MIA,Big,1822,46,55.9%,75,73%,64,45%,56,34%,56,42%,0,,0,0%,0,0%
Santi Aldama,20.8,MEM,Big,243,2,42.8%,59,69%,15,29%,97,100%,22,33%,0,22%,0,5%,0,10%
LaMarcus Aldridge,36.3,BKN,Big,1047,50,56.6%,57,69%,87,52%,91,55%,91,54%,0,29%,44,32%,31,31%
Nickeil Alexander-Walker,23.2,UTA,Wing,112,25,48.6%,2,38%,25,33%,100,100%,91,50%,0,36%,0,33%,36,35%
Nickeil Alexander-Walker,23.2,NOP,Combo,1298,25,45.7%,34,54%,31,35%,16,26%,20,31%,32,36%,23,30%,31,32%
Grayson Allen,26.1,MIL,Wing,1786,88,58.5%,64,65%,52,39%,30,31%,39,38%,73,44%,85,40%,86,41%
Jarrett Allen,23.5,CLE,Big,1802,93,67.8%,94,78%,61,44%,92,58%,75,47%,0,0%,0,33%,0,11%
Jose Alvarado,23.6,NOP,Point,731,62,51.2%,32,56%,100,58%,56,40%,96,54%,27,33%,20,29%,15,30%
Justin Anderson,28.0,IND,Forward,260,4,42.4%,46,64%,72,44%,77,50%,80,47%,53,39%,0,15%,7,23%
Kyle Anderson,28.1,MEM,Forward,1458,22,48.4%,26,60%,69,43%,16,19%,40,39%,70,42%,12,27%,35,33%
Giannis Antetokounmpo,26.9,MIL,Big,2189,65,58.7%,91,77%,43,39%,71,44%,51,41%,0,17%,36,31%,27,30%
Thanasis Antetokounmpo,29.3,MIL,Big,359,62,58.2%,49,68%,1,10%,48,33%,2,15%,0,25%,0,25%,0,25%
Carmelo Anthony,37.4,LAL,Big,1784,39,54.7%,27,64%,77,49%,78,47%,82,48%,80,45%,63,36%,80,38%
Cole Anthony,21.5,ORL,Point,2044,24,46.9%,28,55%,56,40%,34,32%,40,37%,39,35%,56,34%,51,34%
OG Anunoby,24.3,TOR,Wing,1722,44,52.5%,55,64%,25,33%,47,36%,24,34%,85,47%,33,31%,48,36%
Trevor Ariza,36.3,LAL,Forward,453,5,42.8%,34,62%,0,0%,0,,0,0%,0,18%,30,32%,14,26%
D.J. Augustin,34.0,LAL,Combo,357,97,63.4%,88,67%,58,43%,82,50%,68,44%,81,44%,96,44%,92,44%
D.J. Augustin,34.0,HOU,Point,507,88,55.2%,8,50%,10,25%,8,17%,6,21%,0,53%,76,39%,89,41%
Deni Avdija,20.8,WAS,Forward,1910,36,50.6%,38,63%,43,39%,59,41%,48,39%,11,27%,52,34%,29,32%
Deandre Ayton,23.3,PHX,Big,1708,86,64.0%,89,77%,94,59%,70,43%,94,56%,0,,81,39%,82,39%
Udoka Azubuike,22.1,UTA,Big,155,98,70.6%,89,77%,8,25%,0,,8,25%,0,,0,,0,
Marvin Bagley,22.6,DET,Big,488,59,57.8%,94,78%,51,42%,38,25%,50,41%,0,11%,21,28%,6,24%
Marvin Bagley,22.6,SAC,Big,650,9,49.4%,46,67%,55,43%,30,20%,49,40%,2,24%,14,26%,9,25%
LaMelo Ball,20.2,CHA,Point,2403,74,52.4%,20,54%,52,40%,62,41%,56,40%,67,42%,87,40%,85,40%
Lonzo Ball,24.0,CHI,Point,1204,96,56.6%,54,58%,32,34%,10,18%,14,26%,88,48%,91,41%,98,42%
Mohamed Bamba,23.5,ORL,Big,1795,48,56.1%,60,70%,27,35%,46,31%,22,33%,37,32%,86,40%,79,38%
Desmond Bane,23.4,MEM,Wing,2262,81,57.0%,63,65%,50,39%,62,41%,51,40%,47,38%,97,46%,95,44%
