Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Kyle Anderson,29.1,MIN,Forward,179,68,-2.4%,78,-5.4%,48,-0.3%,45,+2.6%,43,+0.6%,17,+13.1%,91,-9.5%,81,-5.0%
Harrison Barnes,30.4,SAC,Forward,196,5,+6.2%,32,+3.0%,2,+17.2%,19,+10.7%,2,+14.4%,20,+12.0%,32,+2.6%,17,+4.6%
Devin Booker,26.0,PHX,Wing,458,48,+0.2%,100,-22.6%,41,+1.8%,92,-23.5%,59,-2.4%,57,-1.0%,4,+8.5%,8,+6.1%
Malcolm Brogdon,29.9,BOS,Combo,466,69,-2.4%,72,-3.7%,16,+7.9%,71,-8.6%,39,+2.0%,89,-11.4%,49,-0.5%,75,-3.6%
Jaylen Brown,26.0,BOS,Wing,748,78,-3.5%,66,-2.8%,78,-7.3%,46,+2.3%,63,-4.0%,73,-5.1%,55,-1.6%,70,-2.4%
Jimmy Butler,33.1,MIA,Forward,955,22,+3.6%,8,+10.4%,14,+8.5%,33,+6.2%,15,+7.7%,82,-7.3%,52,-0.9%,73,-3.1%
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,19,+3.9%,50,-0.1%,57,-1.6%,13,+15.4%,32,+2.9%,54,-0.1%,13,+6.3%,19,+4.3%
Clint Capela,28.5,ATL,Big,179,70,-2.5%,68,-2.9%,72,-6.1%,64,-6.0%,76,-6.5%,18,+12.7%,78,-4.9%,53,+0.1%
Mike Conley,35.1,MIN,Point,255,57,-1.4%,38,+2.1%,98,-17.5%,7,+22.1%,58,-2.4%,23,+11.0%,68,-3.3%,55,-0.6%
Stephen Curry,34.6,GSW,Point,491,29,+2.4%,13,+8.8%,9,+10.1%,18,+11.5%,12,+10.4%,70,-4.0%,92,-9.7%,93,-7.8%
Anthony Davis,29.6,LAL,Big,650,73,-2.9%,81,-6.7%,98,-16.7%,29,+8.1%,92,-9.3%,77,-5.3%,14,+6.3%,28,+3.3%
Spencer Dinwiddie,29.6,BKN,Point,159,97,-8.5%,86,-8.7%,93,-12.3%,98,-31.4%,100,-18.3%,10,+17.1%,86,-8.3%,42,+1.1%
Kevin Durant,34.1,PHX,Big,465,30,+2.4%,96,-14.4%,18,+7.2%,63,-5.8%,23,+4.4%,75,-5.2%,3,+8.9%,13,+5.0%
Joel Embiid,28.6,PHI,Big,335,64,-2.1%,88,-10.4%,77,-7.2%,78,-12.2%,88,-8.6%,5,+23.6%,42,+1.0%,13,+5.3%
Dorian Finney-Smith,29.5,BKN,Big,100,81,-3.8%,98,-15.9%,28,+4.9%,89,-20.0%,48,-0.3%,42,+3.3%,17,+5.9%,14,+5.0%
