Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Kyle Anderson,29.1,MIN,Forward,179,68,-2.4%,13,+4.7%,82,-4.2%,93,-3.2%,94,-7.4%,50,+0.2%,21,+2.4%,28,+2.7%
Harrison Barnes,30.4,SAC,Forward,196,5,+6.2%,95,-7.8%,10,+5.5%,80,-2.0%,22,+3.6%,73,-1.3%,7,+5.5%,17,+4.2%
Devin Booker,26.0,PHX,Wing,458,48,+0.2%,0,+12.3%,92,-6.7%,19,+2.2%,82,-4.5%,88,-3.4%,88,-4.3%,98,-7.8%
Malcolm Brogdon,29.9,BOS,Combo,466,69,-2.4%,40,+1.1%,54,-0.8%,68,-1.3%,68,-2.1%,80,-2.2%,15,+3.1%,43,+1.0%
Jaylen Brown,26.0,BOS,Wing,748,78,-3.5%,55,-0.1%,66,-2.1%,16,+2.5%,46,+0.4%,49,+0.3%,57,-0.6%,60,-0.3%
Jimmy Butler,33.1,MIA,Forward,955,22,+3.6%,5,+6.4%,48,-0.2%,36,+1.0%,41,+0.8%,93,-3.8%,83,-3.4%,96,-7.1%
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,19,+3.9%,36,+1.4%,63,-1.9%,15,+2.6%,42,+0.6%,46,+0.4%,72,-2.4%,72,-2.1%
Clint Capela,28.5,ATL,Big,179,70,-2.5%,84,-4.5%,58,-1.1%,48,+0.4%,56,-0.7%,11,+3.1%,28,+2.0%,9,+5.2%
Mike Conley,35.1,MIN,Point,255,57,-1.4%,89,-5.1%,8,+5.8%,67,-1.2%,17,+4.6%,43,+0.6%,54,-0.1%,48,+0.5%
Stephen Curry,34.6,GSW,Point,491,29,+2.4%,18,+3.7%,53,-0.7%,51,+0.1%,54,-0.6%,98,-4.7%,35,+1.6%,78,-3.1%
Anthony Davis,29.6,LAL,Big,650,73,-2.9%,69,-2.5%,36,+1.0%,81,-2.0%,59,-1.0%,61,-0.3%,11,+3.9%,20,+3.5%
Spencer Dinwiddie,29.6,BKN,Point,159,97,-8.5%,48,+0.4%,1,+12.8%,55,-0.2%,1,+12.6%,100,-8.1%,89,-4.9%,100,-13.0%
Kevin Durant,34.1,PHX,Big,465,30,+2.4%,10,+5.2%,84,-4.6%,38,+0.9%,78,-3.8%,83,-2.7%,37,+1.3%,68,-1.4%
Joel Embiid,28.6,PHI,Big,335,64,-2.1%,56,-0.2%,71,-2.4%,23,+1.6%,57,-0.8%,23,+2.3%,63,-1.3%,42,+1.0%
Dorian Finney-Smith,29.5,BKN,Big,100,81,-3.8%,24,+2.5%,4,+9.0%,63,-0.9%,7,+8.1%,97,-4.3%,95,-6.3%,99,-10.6%
Rudy Gobert,30.3,MIN,Big,209,13,+4.6%,99,-9.4%,25,+2.6%,1,+6.1%,4,+8.7%,27,+2.0%,64,-1.3%,46,+0.7%
Aaron Gordon,27.1,DEN,Forward,706,91,-6.0%,54,-0.0%,37,+0.7%,18,+2.4%,23,+3.1%,85,-2.9%,55,-0.2%,78,-3.1%
Eric Gordon,33.9,LAC,Wing,149,35,+1.5%,91,-5.4%,7,+8.0%,98,-4.4%,21,+3.6%,9,+3.4%,68,-1.6%,33,+1.8%
Draymond Green,32.7,GSW,Big,365,49,+0.0%,94,-6.1%,86,-5.3%,24,+1.6%,76,-3.7%,8,+3.5%,4,+6.2%,2,+9.7%
Jeff Green,36.2,DEN,Big,341,18,+4.0%,51,+0.3%,39,+0.6%,90,-2.7%,68,-2.1%,42,+0.8%,39,+0.9%,34,+1.7%
James Harden,33.2,PHI,Point,425,2,+6.9%,3,+7.8%,98,-11.8%,59,-0.4%,99,-12.2%,73,-1.4%,6,+5.8%,14,+4.4%
Tobias Harris,30.3,PHI,Forward,390,44,+0.6%,22,+3.2%,74,-3.0%,64,-1.1%,80,-4.1%,10,+3.3%,73,-2.5%,44,+0.9%
Jrue Holiday,32.4,MIL,Point,190,96,-7.8%,78,-3.7%,27,+1.9%,98,-4.4%,69,-2.5%,5,+4.2%,27,+2.0%,8,+6.2%
Al Horford,36.4,BOS,Big,615,54,-0.4%,57,-0.5%,68,-2.2%,34,+1.0%,63,-1.2%,19,+2.6%,60,-0.8%,33,+1.7%
LeBron James,37.8,LAL,Big,664,13,+4.6%,26,+2.3%,65,-2.1%,23,+1.6%,52,-0.5%,93,-3.7%,30,+1.8%,69,-1.8%
Nikola Jokic,27.7,DEN,Big,782,9,+5.1%,67,-2.2%,73,-3.0%,10,+3.6%,43,+0.6%,47,+0.4%,38,+1.2%,38,+1.6%
Tyus Jones,26.5,MEM,Combo,120,88,-5.0%,34,+1.4%,67,-2.2%,30,+1.2%,58,-1.0%,98,-4.5%,10,+4.0%,62,-0.4%
Caris LeVert,28.2,CLE,Wing,167,23,+3.1%,1,+11.5%,97,-8.2%,65,-1.1%,97,-9.3%,13,+3.1%,91,-5.3%,73,-2.2%
Kevon Looney,26.7,GSW,Big,324,76,-3.3%,6,+6.3%,30,+1.7%,85,-2.3%,53,-0.6%,87,-3.0%,77,-2.7%,91,-5.7%
Brook Lopez,34.6,MIL,Big,181,40,+1.1%,32,+1.5%,23,+2.9%,18,+2.4%,13,+5.4%,77,-1.7%,90,-5.2%,95,-6.9%
Kevin Love,34.1,MIA,Big,372,33,+2.0%,27,+2.2%,46,-0.1%,28,+1.2%,38,+1.1%,82,-2.6%,59,-0.7%,83,-3.3%
Kyle Lowry,36.6,MIA,Point,633,28,+2.5%,49,+0.4%,47,-0.2%,60,-0.5%,55,-0.7%,33,+1.4%,61,-1.1%,52,+0.3%
Trey Lyles,27.0,SAC,Big,117,56,-1.3%,8,+5.8%,89,-5.7%,4,+4.5%,62,-1.2%,38,+1.1%,93,-5.7%,87,-4.7%
Khris Middleton,31.2,MIL,Forward,173,100,-10.5%,47,+0.5%,61,-1.8%,3,+5.2%,23,+3.4%,60,-0.3%,83,-3.6%,85,-3.9%
Dejounte Murray,26.1,ATL,Combo,226,45,+0.5%,7,+6.1%,83,-4.3%,94,-3.8%,95,-8.1%,54,+0.0%,28,+2.0%,31,+2.0%
Jamal Murray,25.7,DEN,Combo,791,72,-2.8%,9,+5.7%,87,-5.3%,82,-2.0%,93,-7.3%,63,-0.5%,24,+2.1%,36,+1.6%
Georges Niang,29.4,PHI,Forward,153,39,+1.4%,92,-5.7%,15,+4.3%,43,+0.6%,15,+4.9%,62,-0.4%,36,+1.3%,45,+0.9%
Chris Paul,37.5,PHX,Point,250,79,-3.7%,11,+5.2%,99,-12.2%,54,-0.1%,100,-12.3%,84,-2.8%,1,+9.9%,3,+7.1%
Cameron Payne,28.2,PHX,Point,146,47,+0.3%,75,-3.2%,8,+6.7%,22,+1.7%,5,+8.4%,33,+1.4%,96,-6.6%,88,-5.2%
Bobby Portis,27.7,MIL,Big,105,23,+3.4%,53,+0.0%,48,-0.2%,61,-0.8%,61,-1.0%,53,+0.1%,41,+0.9%,41,+1.0%
Norman Powell,29.4,LAC,Wing,167,89,-5.3%,4,+6.8%,95,-7.5%,91,-2.8%,98,-10.3%,31,+1.7%,31,+1.8%,21,+3.4%
Taurean Prince,28.6,MIN,Forward,162,62,-1.7%,2,+11.1%,78,-3.8%,71,-1.3%,86,-5.1%,88,-3.2%,79,-2.8%,92,-6.0%
Julius Randle,27.9,NYK,Forward,329,38,+1.4%,19,+3.6%,33,+1.6%,79,-1.9%,50,-0.4%,78,-1.8%,65,-1.4%,80,-3.2%
D'Angelo Russell,26.7,LAL,Point,496,38,+1.4%,39,+1.2%,38,+0.7%,83,-2.1%,64,-1.4%,81,-2.2%,22,+2.4%,55,+0.2%
Domantas Sabonis,26.5,SAC,Big,242,32,+2.2%,82,-4.2%,33,+1.4%,56,-0.2%,35,+1.2%,92,-3.5%,3,+6.5%,26,+3.0%
Dennis Schroder,29.1,LAL,Point,447,85,-4.5%,81,-3.9%,29,+1.7%,8,+4.0%,12,+5.7%,40,+0.8%,78,-2.7%,71,-1.9%
