feature,coefficient,abs_coefficient
efg%_rank_weighted,0.4762506302481039,0.4762506302481039
usage_rank_weighted,-0.22323886911810925,0.22323886911810925
corner_three_rank_impact_weighted,0.18355954011015396,0.18355954011015396
astd%_rim_overall_rank_top2_avg,-0.18059611766648717,0.18059611766648717
foul%_rank_top2_avg,0.13617517625829073,0.13617517625829073
offense:_pts/poss_rank_highest,0.13221195912359132,0.13221195912359132
fgdr%_rank_weighted,0.13026862861662794,0.13026862861662794
onoff_opp_shot:_rim_rank_impact_top2_avg,-0.12386050374024626,0.12386050374024626
onoff_opp_shot:_long_mid_rank_impact_highest,-0.10437840539834548,0.10437840539834548
astd%_rim_overall_rank_weighted,-0.10070639483691175,0.10070639483691175
blk%_rank_weighted,0.0882700083624671,0.0882700083624671
ft%_rank_highest,0.0806677214076254,0.0806677214076254
onoff_team_transition_off_live_rebounds:_pts+/poss_rank_weighted,0.06576213634174329,0.06576213634174329
foul%_rank_highest,0.06440631791074745,0.06440631791074745
foul%_rank_weighted,0.04017927168449002,0.04017927168449002
efg%_rank_highest,0.03624199930864752,0.03624199930864752
onoff_team_shot:_short_mid_rank_impact_weighted,0.030320467926440844,0.030320467926440844
offense:_orb%_rank_highest,0.026882992426455143,0.026882992426455143
onoff_opp_shot:_rim_rank_impact_highest,-0.023675895959637188,0.023675895959637188
astd%_rim_overall_rank_highest,-0.020730773844636306,0.020730773844636306
onoff_opp_transition_off_steals:_pts+/poss_rank_weighted,0.017051260093214057,0.017051260093214057
astd%_three_overall_rank_highest,0.016886174255688276,0.016886174255688276
offense:_ft_rate_rank_weighted,0.013247711184907035,0.013247711184907035
onoff_team_shot:_non_corner_rank_impact_weighted,-0.012606909129950876,0.012606909129950876
astd%_three_overall_rank_top2_avg,0.008453656138250354,0.008453656138250354
long_mid_rank_impact_weighted,0.004151479546802489,0.004151479546802489
fgdr%_rank_top2_avg,-0.00352393012399895,0.00352393012399895
non_corner_rank_impact_weighted,0.0027937652667869538,0.0027937652667869538
tov%_rank_weighted,0.0004660280658361557,0.0004660280658361557
fgor%_rank_highest,0.0,0.0
stl%_rank_highest,0.0,0.0
blk%_rank_top2_avg,0.0,0.0
blk%_rank_highest,0.0,0.0
Unnamed: 0,0.0,0.0
stl%_rank_weighted,0.0,0.0
usage_rank_highest,0.0,0.0
and1%_rank_weighted,0.0,0.0
and1%_rank_top2_avg,0.0,0.0
and1%_rank_highest,0.0,0.0
ffld%_rank_weighted,0.0,0.0
ffld%_rank_top2_avg,0.0,0.0
ffld%_rank_highest,0.0,0.0
sfld%_rank_weighted,0.0,0.0
sfld%_rank_top2_avg,0.0,0.0
sfld%_rank_highest,0.0,0.0
ft%_rank_weighted,0.0,0.0
ft%_rank_top2_avg,0.0,0.0
ftdr%_rank_weighted,0.0,0.0
ftdr%_rank_top2_avg,0.0,0.0
ftdr%_rank_highest,0.0,0.0
ftor%_rank_weighted,0.0,0.0
stl%_rank_top2_avg,0.0,0.0
ftor%_rank_top2_avg,0.0,0.0
ftor%_rank_highest,0.0,0.0
fgdr%_rank_highest,0.0,0.0
fgor%_rank_top2_avg,0.0,0.0
fgor%_rank_weighted,0.0,0.0
ast%_rank_weighted,0.0,0.0
ast:usg_rank_highest,0.0,0.0
ast:usg_rank_weighted,0.0,0.0
ast:usg_rank_top2_avg,0.0,0.0
tov%_rank_top2_avg,0.0,0.0
tov%_rank_highest,0.0,0.0
offense:_pts/poss_rank_top2_avg,0.0,0.0
offense:_pts/poss_rank_weighted,0.0,0.0
ast%_rank_highest,0.0,0.0
usage_rank_top2_avg,0.0,0.0
defense:_efg%_rank_weighted,0.0,0.0
defense:_tov%_rank_highest,0.0,0.0
defense:_tov%_rank_weighted,0.0,0.0
defense:_tov%_rank_top2_avg,0.0,0.0
defense:_orb%_rank_top2_avg,0.0,0.0
defense:_orb%_rank_weighted,0.0,0.0
defense:_ft_rate_rank_highest,0.0,0.0
defense:_orb%_rank_highest,0.0,0.0
defense:_ft_rate_rank_weighted,0.0,0.0
onoff_opp_halfcourt_halfcourt:_oreb%_rank_highest,0.0,0.0
onoff_opp_halfcourt_halfcourt:_oreb%_rank_top2_avg,0.0,0.0
onoff_opp_halfcourt_halfcourt:_oreb%_rank_weighted,0.0,0.0
onoff_opp_halfcourt_putbacks:_pts/miss_rank_highest,0.0,0.0
onoff_opp_halfcourt_putbacks:_pts/miss_rank_top2_avg,0.0,0.0
onoff_opp_halfcourt_putbacks:_pts/miss_rank_weighted,0.0,0.0
defense:_ft_rate_rank_top2_avg,0.0,0.0
offense:_efg%_rank_top2_avg,0.0,0.0
offense:_efg%_rank_highest,0.0,0.0
offense:_tov%_rank_top2_avg,0.0,0.0
offense:_efg%_rank_weighted,0.0,0.0
offense:_tov%_rank_weighted,0.0,0.0
offense:_orb%_rank_top2_avg,0.0,0.0
offense:_orb%_rank_weighted,0.0,0.0
offense:_tov%_rank_highest,0.0,0.0
offense:_ft_rate_rank_highest,0.0,0.0
offense:_ft_rate_rank_top2_avg,0.0,0.0
defense:_pts/poss_rank_highest,0.0,0.0
defense:_pts/poss_rank_top2_avg,0.0,0.0
defense:_pts/poss_rank_weighted,0.0,0.0
defense:_efg%_rank_highest,0.0,0.0
defense:_efg%_rank_top2_avg,0.0,0.0
ast%_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_putbacks:_plays/miss_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_putbacks:_plays/miss_rank_highest,0.0,0.0
onoff_team_halfcourt_putbacks:_pts/miss_rank_weighted,0.0,0.0
onoff_team_halfcourt_putbacks:_pts/miss_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_putbacks:_pts/miss_rank_highest,0.0,0.0
onoff_team_halfcourt_halfcourt:_oreb%_rank_weighted,0.0,0.0
onoff_team_halfcourt_halfcourt:_oreb%_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_halfcourt:_oreb%_rank_highest,0.0,0.0
onoff_opp_transition_off_live_rebounds:_pts+/poss_rank_weighted,0.0,0.0
onoff_opp_transition_off_live_rebounds:_pts+/poss_rank_top2_avg,0.0,0.0
onoff_opp_transition_off_live_rebounds:_pts+/poss_rank_highest,0.0,0.0
onoff_opp_transition_off_steals:_pts+/poss_rank_top2_avg,0.0,0.0
onoff_opp_halfcourt_putbacks:_plays/miss_rank_weighted,0.0,0.0
onoff_opp_transition_off_steals:_pts+/poss_rank_highest,0.0,0.0
onoff_opp_halfcourt_putbacks:_plays/miss_rank_top2_avg,0.0,0.0
onoff_opp_halfcourt_putbacks:_plays/miss_rank_highest,0.0,0.0
astd%_mid_overall_rank_weighted,0.0,0.0
astd%_mid_overall_rank_top2_avg,0.0,0.0
astd%_mid_overall_rank_highest,0.0,0.0
efg%_rank_top2_avg,0.0,0.0
rim_rank_impact_highest,0.0,0.0
astd%_three_overall_rank_weighted,0.0,0.0
rim_rank_impact_weighted,0.0,0.0
rim_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_rim_rank_impact_weighted,0.0,0.0
onoff_team_shot:_rim_rank_impact_highest,0.0,0.0
onoff_team_transition_off_steals:_pts+/poss_rank_top2_avg,0.0,0.0
onoff_team_transition_off_steals:_pts+/poss_rank_weighted,0.0,0.0
onoff_team_transition_off_live_rebounds:_pts+/poss_rank_highest,0.0,0.0
onoff_team_transition_off_live_rebounds:_pts+/poss_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_putbacks:_plays/miss_rank_weighted,0.0,0.0
onoff_team_transition_off_steals:_pts+/poss_rank_highest,0.0,0.0
onoff_opp_shot:_short_mid_rank_impact_highest,0.0,0.0
short_mid_rank_impact_weighted,0.0,0.0
short_mid_rank_impact_top2_avg,0.0,0.0
short_mid_rank_impact_highest,0.0,0.0
onoff_team_shot:_rim_rank_impact_weighted,0.0,0.0
onoff_team_shot:_rim_rank_impact_top2_avg,0.0,0.0
onoff_team_shot:_short_mid_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_short_mid_rank_impact_top2_avg,0.0,0.0
long_mid_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_long_mid_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_long_mid_rank_impact_weighted,0.0,0.0
onoff_team_shot:_long_mid_rank_impact_highest,0.0,0.0
onoff_team_shot:_long_mid_rank_impact_top2_avg,0.0,0.0
onoff_team_shot:_short_mid_rank_impact_highest,0.0,0.0
long_mid_rank_impact_highest,0.0,0.0
onoff_opp_shot:_short_mid_rank_impact_weighted,0.0,0.0
corner_three_rank_impact_top2_avg,0.0,0.0
corner_three_rank_impact_highest,0.0,0.0
onoff_team_shot:_long_mid_rank_impact_weighted,0.0,0.0
onoff_opp_shot:_corner_three_rank_impact_highest,0.0,0.0
onoff_team_shot:_corner_three_rank_impact_highest,0.0,0.0
onoff_team_shot:_corner_three_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_corner_three_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_corner_three_rank_impact_weighted,0.0,0.0
non_corner_rank_impact_highest,0.0,0.0
onoff_team_shot:_corner_three_rank_impact_weighted,0.0,0.0
onoff_opp_shot:_non_corner_rank_impact_highest,0.0,0.0
non_corner_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_non_corner_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_non_corner_rank_impact_weighted,0.0,0.0
onoff_team_shot:_non_corner_rank_impact_highest,0.0,0.0
onoff_team_shot:_non_corner_rank_impact_top2_avg,0.0,0.0
