player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Shareef Abdur-Rahim,ATL,26.9,Forward,1955,17,22,87,76,87,52,78,95,0,0,0,85,93,78,50,70,95,87,76,97,4,78,88,82,19,72,100,89,76,19,61,49,68,80,78,47,70,19,72,54,46,11,70,33,29,86,75,34,11,62,18,7,29,46,45,75,93,4,38,20,11,63,75,80,29,56,60,93,89,21,46,45,43,62,84,81,58,67,45,46,17,54,60,54,46,74,48,80,85,93,0,21,9,61,91,41,87,13,20,17,93,9,89,59,78,96
Shareef Abdur-Rahim,POR,26.9,Forward,708,74,67,52,63,52,0,43,78,0,100,0,80,65,80,65,20,45,36,11,68,69,84,66,80,89,15,22,92,10,7,6,20,11,88,36,64,57,13,86,58,73,26,88,70,8,16,10,55,6,62,68,32,59,39,7,51,42,68,28,48,63,33,27,7,10,4,96,6,19,65,72,8,17,59,84,79,11,21,9,15,2,33,21,56,12,30,57,35,39,35,0,0,0,70,89,22,72,20,26,22,35,0,87,87,67,17
Malik Allen,MIA,25.3,Big,576,76,39,37,19,21,62,1,61,0,0,0,77,6,32,16,82,9,20,24,29,80,16,9,21,20,20,71,59,21,42,7,12,14,62,39,92,87,59,0,1,10,99,15,79,65,67,71,2,88,1,3,13,1,9,93,6,39,80,9,42,68,16,85,64,8,14,28,74,62,4,86,94,96,46,27,30,6,3,13,14,33,14,14,2,28,19,11,74,73,80,0,0,0,1,69,93,99,0,0,0,19,0,45,38,61,0
Ray Allen,OKC,28.3,Combo,2147,42,33,82,73,91,0,60,100,0,0,0,96,91,58,31,67,94,94,79,71,94,56,72,66,71,61,23,52,83,29,15,24,23,63,75,2,11,68,92,92,58,23,74,49,81,22,37,98,51,99,81,32,86,97,60,97,67,83,99,92,96,49,74,53,25,37,49,86,83,35,77,17,32,80,79,84,100,96,97,89,72,75,99,95,95,82,93,64,62,69,79,75,85,31,84,33,44,64,82,73,82,85,58,82,49,64
Rafer Alston,MIA,27.3,Point,2546,79,74,32,16,66,0,37,37,0,0,0,37,47,31,42,84,68,62,61,65,41,61,63,72,39,60,18,64,43,93,32,72,7,55,23,83,64,89,39,65,72,88,8,27,77,33,49,75,97,65,89,94,78,51,89,49,75,46,29,30,34,33,75,88,21,53,34,26,18,7,31,24,18,77,100,100,33,16,30,32,72,19,41,7,45,77,31,31,18,19,26,75,69,29,19,3,3,73,100,98,21,69,29,58,98,44
Chris Andersen,DEN,25.3,Big,1016,99,71,52,45,61,75,99,19,0,0,0,12,50,34,57,28,29,18,23,50,45,39,65,95,40,12,44,88,26,15,21,13,50,92,72,53,69,84,73,89,57,12,28,11,41,97,93,49,37,52,76,40,74,27,61,36,22,40,51,34,43,31,51,52,42,46,10,41,21,3,42,92,89,61,70,68,33,50,41,31,57,58,40,50,36,29,25,2,45,17,0,0,0,81,2,70,22,0,0,0,30,0,48,58,11,0
Derek Anderson,POR,29.3,Wing,1807,2,68,93,12,31,60,20,77,0,0,0,69,57,89,87,75,93,84,87,94,8,67,80,69,23,92,82,33,92,91,69,60,71,72,96,6,48,78,51,68,46,38,71,61,35,47,41,97,96,95,46,9,62,98,97,98,67,8,84,70,8,98,69,82,80,88,15,73,49,43,20,19,13,57,96,93,99,95,98,96,85,89,96,87,97,36,44,40,64,62,38,19,22,18,11,60,34,67,91,85,41,22,59,58,66,82
Kenny Anderson,IND,33.1,Point,862,52,13,39,65,37,0,0,4,0,0,0,16,19,15,35,61,41,37,32,40,87,3,58,41,19,80,92,44,90,15,84,85,75,61,58,37,46,58,24,29,21,7,78,33,93,82,92,47,2,56,23,4,45,64,4,61,23,71,68,79,68,72,76,77,22,49,49,5,13,53,83,72,84,20,9,9,38,71,33,86,82,88,20,74,9,40,56,84,37,55,0,0,0,92,68,76,74,27,0,8,65,0,23,23,3,8
Shandon Anderson,NYK,29.8,Wing,1916,44,62,34,44,25,0,32,37,0,0,0,35,54,31,37,9,18,31,46,21,47,63,23,65,38,5,15,56,6,4,4,5,15,40,79,49,71,28,89,78,8,81,80,93,30,58,48,57,13,74,60,14,88,48,35,43,29,45,70,66,53,74,77,49,54,54,17,12,9,84,24,38,27,76,36,49,46,56,42,42,95,38,46,47,45,45,61,64,33,42,11,26,12,78,82,14,31,77,28,46,70,12,50,25,60,36
Carmelo Anthony,DEN,19.4,Wing,2984,70,44,80,93,66,0,36,48,0,0,0,93,72,59,19,37,58,90,80,74,34,92,10,1,30,89,94,6,90,9,36,52,29,4,13,22,9,19,17,7,16,92,83,97,84,4,15,44,4,51,37,12,36,64,0,69,86,29,90,71,84,36,53,31,61,50,95,13,28,100,37,0,0,73,19,31,86,78,73,75,87,40,85,83,79,42,35,17,37,30,23,41,30,98,16,49,24,9,42,27,52,31,80,43,88,91
