player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Quincy Acy,TOR,22.1,Big,291,72,80,14,75,11,0,20,0,43,66,70,23,92,26,43,17,99,97,91,40,95,91,99,95,80,70,82,99,93,56,28,39,2,95,97,85,89,94,45,34,38,80,53,61,57,62,7,13,99,94,64,98,98,97,99,85,3,93,97,77,92,94,19,44,8,98,66,37,51,12,85,65,76,38,29,25,47,53,51,97,100,99,100,81,70,59,100,98,100,85,61,72,62,69,0,0,0,82,7,54,23,0,0,0,84,0,28,17,40,0
Jeff Adrien,CHA,26.7,Big,660,57,57,42,58,58,69,67,39,92,90,13,40,24,69,74,52,77,61,72,62,56,24,78,56,87,52,47,78,80,53,4,53,36,66,51,39,75,61,43,35,37,88,80,14,38,66,14,22,78,42,3,71,15,12,42,67,13,79,61,50,61,17,42,48,32,79,62,53,58,70,78,82,33,83,71,86,33,29,29,61,70,17,91,67,33,60,60,4,83,13,10,90,32,54,0,0,0,45,51,75,67,0,0,0,15,0,71,81,52,0
Arron Afflalo,ORL,27.0,Wing,2288,17,8,83,20,45,88,40,87,71,83,76,84,57,79,52,47,65,82,89,57,11,64,33,25,18,74,47,33,31,54,84,55,86,11,20,35,21,21,85,26,49,41,18,37,24,93,78,89,33,28,63,21,42,28,44,31,53,23,82,97,10,15,17,10,60,76,83,83,89,96,50,81,8,48,60,58,58,86,83,82,28,33,23,52,30,65,20,51,17,40,67,90,79,89,78,6,15,36,89,83,92,32,32,26,79,15,83,66,69,46
Cole Aldrich,HOU,24.0,Big,179,44,14,3,12,68,93,20,0,36,2,70,11,46,11,28,4,3,8,17,54,6,8,9,4,93,16,9,9,39,10,9,2,56,1,8,81,75,84,15,12,11,4,43,100,97,99,3,28,9,26,1,36,50,67,51,20,1,36,8,28,7,43,1,6,1,14,73,97,93,18,37,21,4,90,43,71,96,60,79,8,42,63,48,100,49,99,1,84,3,67,84,16,0,14,0,0,0,73,90,0,35,0,0,0,67,0,34,5,89,0
Cole Aldrich,SAC,24.0,Big,149,87,1,58,47,67,0,100,0,28,62,93,8,94,1,4,19,99,97,75,99,81,32,99,100,81,2,63,99,100,0,0,54,5,96,57,99,99,100,100,75,100,60,67,98,98,43,1,2,99,8,10,21,3,33,1,33,0,64,97,81,86,99,94,86,80,87,22,70,43,99,13,63,16,29,86,69,9,80,60,97,97,97,74,99,97,97,29,78,16,88,68,49,0,49,0,0,0,90,67,0,11,0,0,0,88,0,95,93,61,0
LaMarcus Aldridge,POR,27.3,Big,2782,43,40,95,18,65,52,59,91,45,86,63,98,52,86,67,91,96,86,62,83,86,45,91,66,72,86,83,91,85,84,93,75,73,65,71,95,33,74,47,18,22,59,20,18,12,95,80,91,91,53,93,27,26,64,14,80,89,70,86,70,86,80,94,87,83,59,83,78,86,68,38,47,64,77,85,92,12,8,6,86,47,61,58,67,54,56,32,29,41,43,67,81,72,80,0,0,0,13,71,93,95,68,66,65,47,0,90,89,84,99
Lavoy Allen,PHI,23.7,Big,1623,46,11,51,60,31,75,10,52,7,37,27,28,21,52,66,83,73,48,36,30,84,14,82,79,30,83,59,82,78,84,97,75,79,59,21,80,45,62,88,85,93,78,17,23,16,70,59,66,82,27,89,11,47,66,45,23,90,9,48,39,75,24,76,67,77,53,55,64,65,48,26,34,13,62,96,96,35,30,30,48,7,24,6,40,6,68,5,36,5,28,44,76,47,57,0,0,0,22,53,91,87,64,0,49,29,0,32,77,16,0
Ray Allen,MIA,37.3,Wing,1989,29,61,64,55,48,59,21,93,38,76,72,59,99,54,41,31,7,33,8,78,72,83,3,11,15,62,10,3,9,38,56,35,45,32,60,30,37,30,9,17,7,61,85,55,74,68,7,16,3,9,75,9,35,75,21,8,80,10,33,38,73,13,19,36,10,7,8,4,2,35,63,51,70,42,9,12,87,67,77,33,10,4,21,10,22,25,21,8,26,93,50,77,59,70,85,85,93,40,50,27,27,83,63,76,76,91,50,62,73,52
Tony Allen,MEM,30.8,Wing,2102,88,99,16,97,69,0,91,24,84,43,55,52,22,22,16,48,78,33,31,12,81,57,93,73,93,71,92,93,81,87,81,96,92,93,58,42,61,51,62,73,78,39,53,33,38,51,82,77,93,68,29,79,31,41,46,79,42,84,33,15,80,89,84,81,66,79,15,31,18,88,9,25,93,84,53,72,1,9,1,33,48,82,30,82,81,33,27,34,28,17,37,23,22,12,0,0,0,99,64,55,59,4,2,2,49,0,65,56,11,3
Al-Farouq Aminu,NOP,22.1,Wing,2049,92,84,53,99,100,64,94,25,83,26,57,17,43,20,29,2,94,78,58,20,96,55,93,82,66,73,96,93,94,70,63,45,39,53,60,96,46,84,73,49,64,48,49,38,39,48,73,66,93,40,69,28,51,55,70,37,36,15,78,35,90,99,95,96,29,67,74,18,46,9,64,42,94,90,16,48,9,13,8,78,95,98,76,96,99,84,80,96,53,40,63,63,7,21,0,0,3,98,83,36,58,2,4,2,75,3,46,26,21,3
